iter	Passed	Remaining
641	5074	458
642	5084	450
643	5092	442
644	5101	434
645	5109	427
646	5129	420
647	5139	412
648	5148	404
649	5156	396
650	5164	388
651	5173	380
652	5183	373
653	5189	365
654	5197	357
655	5204	349
656	5212	341
657	5218	333
658	5225	325
659	5232	317
660	5239	309
661	5246	301
662	5253	293
663	5260	285
664	5267	277
665	5274	269
666	5282	261
667	5289	253
668	5296	245
669	5303	237
670	5310	229
671	5318	221
672	5325	213
673	5332	205
674	5339	197
675	5347	189
676	5354	181
677	5361	173
678	5368	166
679	5376	158
680	5383	150
681	5389	142
682	5397	134
683	5404	126
684	5413	118
685	5420	110
686	5427	102
687	5433	94
688	5441	86
689	5448	78
690	5455	71
691	5461	63
692	5468	55
693	5476	47
694	5482	39
695	5489	31
696	5496	23
697	5502	15
698	5509	7
699	5516	0
